
 C:\WinTa100\DIL805.PRO\Data\Quenching\958-Micaela Moron-Zry4-M11-25C-60s-1050C-0.5Cs-5m-25C-0.5Cs-25C-60s-02.06.25.PAR
                Time - Temperature  /  rel. Change in Length  /  dif. Change in Length 
                  s                °C                    %
  4848      2453,00268555     1028,35314941        0,25398946       -0,06670330
  4849      2453,50219727     1028,20434570        0,25382641       -0,06728655
  4850      2454,00292969     1027,97570801        0,25355470       -0,06717579
  4851      2454,50268555     1027,80114746        0,25276667       -0,06578448
  4852      2455,00195313     1027,47241211        0,25249493       -0,06653657
  4853      2455,50292969     1027,32019043        0,25249493       -0,06626167
  4854      2456,00268555     1027,10498047        0,25216886       -0,06556544
  4855      2456,50219727     1026,71276855        0,25186995       -0,06386801
  4856      2457,00268555     1026,46386719        0,25148952       -0,06186154
  4857      2457,50195313     1026,27856445        0,25089172       -0,06022012
  4858      2458,00244141     1025,87219238        0,25070149       -0,06091600
  4859      2458,50195313     1025,74377441        0,25056562       -0,06250165
  4860      2459,00268555     1025,52624512        0,25015801       -0,06350372
  4861      2459,50195313     1025,17712402        0,25002214       -0,06271839
  4862      2460,00268555     1025,01123047        0,24969608       -0,06358069
  4863      2460,50219727     1024,92102051        0,24939717       -0,06427444
  4864      2461,00195313     1024,51074219        0,24893521       -0,06711430
  4865      2461,50268555     1024,22082520        0,24860914       -0,07037117
  4866      2462,00244141     1023,97790527        0,24814720       -0,07521558
  4867      2462,50292969     1023,67810059        0,24798416       -0,07583033
  4868      2463,00268555     1023,45874023        0,24719612       -0,07410298
  4869      2463,50195313     1023,12353516        0,24746786       -0,07284866
  4870      2464,00292969     1023,02752686        0,24640809       -0,07012364
  4871      2464,50268555     1022,73736572        0,24616353       -0,06931832
  4872      2465,00195313     1022,35296631        0,24575594       -0,06698374
  4873      2465,50268555     1022,06561279        0,24589179       -0,06756674
  4874      2466,00219727     1022,00354004        0,24564724       -0,06636804
  4875      2466,50292969     1021,69256592        0,24504943       -0,06308362
  4876      2467,00219727     1021,44360352        0,24475051       -0,06311025
  4877      2467,50195313     1021,27954102        0,24475051       -0,06272314
  4878      2468,00244141     1021,03942871        0,24377228       -0,06366755
  4879      2468,50219727     1020,79589844        0,24385381       -0,06444634
  4880      2469,00268555     1020,50665283        0,24336468       -0,06491910
  4881      2469,50219727     1020,20379639        0,24317446       -0,06516718
  4882      2470,00195313     1020,07641602        0,24276686       -0,06280017
  4883      2470,50244141     1019,72271729        0,24273969       -0,06087884
  4884      2471,00268555     1019,48950195        0,24227776       -0,05776158
  4885      2471,50244141     1019,32568359        0,24203318       -0,05620254
  4886      2472,00292969     1018,95971680        0,24135384       -0,05639667
  4887      2472,50219727     1018,78765869        0,24135384       -0,05901393
  4888      2473,00292969     1018,57220459        0,24110930       -0,05949096
  4889      2473,50268555     1018,19958496        0,24102777       -0,06077338
  4890      2474,00219727     1018,05261230        0,24081038       -0,06068964
  4891      2474,50292969     1017,74810791        0,24021257       -0,06191410
  4892      2475,00244141     1017,42553711        0,23988649       -0,06427954
  4893      2475,50195313     1017,25854492        0,23939736       -0,06611847
  4894      2476,00268555     1016,96423340        0,23934302       -0,06895700
  4895      2476,50219727     1016,72894287        0,23882672       -0,06792690
  4896      2477,00292969     1016,57922363        0,23833761       -0,06717580
  4897      2477,50268555     1016,13049316        0,23820174       -0,06522616
  4898      2478,00219727     1016,08685303        0,23773980       -0,06433453
  4899      2478,50292969     1015,81805420        0,23765828       -0,06475174
  4900      2479,00268555     1015,48315430        0,23741370       -0,06480817
  4901      2479,50195313     1015,16491699        0,23687024       -0,06441989
  4902      2480,00268555     1015,05560303        0,23668003       -0,06511533
  4903      2480,50219727     1014,70007324        0,23646265       -0,06608995
  4904      2481,00292969     1014,48022461        0,23564745       -0,06653706
  4905      2481,50268555     1014,36047363        0,23570178       -0,06781614
  4906      2482,00219727     1013,97967529        0,23518549       -0,06664585
  4907      2482,50292969     1013,81756592        0,23480506       -0,06539305
  4908      2483,00244141     1013,47119141        0,23466919       -0,06224820
  4909      2483,50195313     1013,27844238        0,23426160       -0,06127704
  4910      2484,00268555     1013,12725830        0,23401704       -0,06060989
  4911      2484,50219727     1012,79217529        0,23358227       -0,05994128
  4912      2485,00292969     1012,54888916        0,23358227       -0,06239133
  4913      2485,50219727     1012,22436523        0,23328337       -0,06286013
  4914      2486,00195313     1012,06689453        0,23282142       -0,06539299
  4915      2486,50244141     1011,84112549        0,23260404       -0,06731323
  4916      2487,00219727     1011,45495605        0,23203339       -0,06823443
  4917      2487,50244141     1011,15844727        0,23173448       -0,06920981
  4918      2488,00219727     1011,07525635        0,23140839       -0,06909499
  4919      2488,50292969     1010,76940918        0,23094645       -0,06675734
  4920      2489,00244141     1010,56451416        0,23045734       -0,06243986
  4921      2489,50195313     1010,28204346        0,23045734       -0,05999249
  4922      2490,00244141     1010,06652832        0,23015843       -0,06004832
  4923      2490,50195313     1009,83483887        0,22975083       -0,05976953
  4924      2491,00268555     1009,52386475        0,22966930       -0,05960149
  4925      2491,50195313     1009,22985840        0,22977801       -0,05937667
  4926      2492,00244141     1009,02325439        0,22907148       -0,05909666
  4927      2492,50219727     1008,78552246        0,22874542       -0,06148961
  4928      2493,00292969     1008,57843018        0,22803889       -0,06235419
  4929      2493,50219727     1008,29748535        0,22773999       -0,06483244
  4930      2494,00292969     1007,98822021        0,22795738       -0,06711800
  4931      2494,50244141     1007,74957275        0,22738673       -0,06798168
  4932      2495,00292969     1007,42169189        0,22700632       -0,06651028
  4933      2495,50244141     1007,39379883        0,22687043       -0,06497853
  4934      2496,00195313     1006,95178223        0,22659872       -0,06726386
  4935      2496,50268555     1006,70574951        0,22605523       -0,06854446
  4936      2497,00195313     1006,46484375        0,22556613       -0,06913015
  4937      2497,50244141     1006,19934082        0,22524004       -0,06976908
  4938      2498,00195313     1006,06805420        0,22507700       -0,06990512
  4939      2498,50268555     1005,77209473        0,22453354       -0,06801025
  4940      2499,00195313     1005,37036133        0,22407159       -0,06441645
  4941      2499,50244141     1005,20605469        0,22420746       -0,06255035
  4942      2500,00195313     1004,99884033        0,22379985       -0,06193631
  4943      2500,50268555     1004,76025391        0,22314769       -0,06235385
  4944      2501,00219727     1004,46691895        0,22325639       -0,06382846
  4945      2501,50292969     1004,29364014        0,22295749       -0,06422050
